method_id,model,chain,seed_id,seed_value,seed_group,internal_patients,external_patients,internal_auc,external_auc,internal_pc1_shift_sd,external_pc1_shift_sd,pc1_variance_ratio,pc2_variance_ratio,pc1_sign_flipped
sceptr_softmax,Softmax,alpha,S08,10762549616907469203,ordinary,169,109,0.9684684684684686,0.4897260273972603,1.0341068599206058,-0.12926986433122417,0.2036303169157832,0.1691244570175864,True
sceptr_softmax,Softmax,alpha,S09,12293968614973973933,ordinary,169,109,0.9675365020192607,0.55441400304414,1.1180238901280735,-0.07370597535289511,0.1973824053808978,0.1298414608700513,True
sceptr_softmax,Softmax,beta,S01,777,lucky,169,110,0.9310344827586207,0.40615615615615613,1.1795976881525738,-0.47413865986138426,0.2331724206168809,0.1517237131730607,False
sceptr_softmax,Softmax,beta,S02,2232016200,lucky,169,110,0.925753339546443,0.5442942942942943,1.1289528093572583,-0.08614757201322454,0.1782332207310989,0.1494442493962841,False
sceptr_softmax,Softmax,beta,S03,12906138414127427065,lucky,169,110,0.9560422491456975,0.4692192192192192,0.5357052208535629,-0.31604282847734155,0.270399850702843,0.1412291477833136,True
sceptr_softmax,Softmax,beta,S04,6902826956892357559,moderate,169,110,0.9293258776017397,0.4268018018018018,0.7477416323743236,-0.36225981456738854,0.3196882611493108,0.1400376209879221,True
sceptr_softmax,Softmax,beta,S05,2712386035810402826,moderate,169,110,0.9405094749922336,0.4748498498498498,1.1855424400739718,-0.18400383972886558,0.1874758427809064,0.1534405373709912,False
sceptr_softmax,Softmax,beta,S06,14320595710489364965,moderate,169,110,0.9307238272755515,0.4718468468468469,0.7783351182003385,-0.4381182993275923,0.2713332403205608,0.143525626426712,False
sceptr_softmax,Softmax,beta,S07,11327508419378867602,ordinary,169,110,0.9251320285803044,0.4196696696696696,1.088313019235339,-0.4630251693496544,0.2415811041339484,0.1559121120527403,False
sceptr_softmax,Softmax,beta,S08,10762549616907469203,ordinary,169,110,0.9346070208139174,0.4665915915915916,1.276970348308726,-0.13555735268928681,0.1938218120014178,0.1400886868372325,False
sceptr_softmax,Softmax,beta,S09,12293968614973973933,ordinary,169,110,0.9521590556073315,0.4924924924924925,0.3083297659400562,-0.07560551815175717,0.2561359793073934,0.1403636241678253,True
sceptr_sparsemax,Sparsemax,alpha,S01,777,lucky,169,109,0.9453246349798075,0.03462709284627094,1.8808243146170458,-1.2589397904349966,0.6093742334791249,0.098735615861024,True
sceptr_sparsemax,Sparsemax,alpha,S02,2232016200,lucky,169,109,0.9521590556073316,0.05631659056316591,1.718057756553101,-1.1850554841364718,0.4505051501601353,0.2424282104581813,True
sceptr_sparsemax,Sparsemax,alpha,S03,12906138414127427065,lucky,169,109,0.9555762659210935,0.05098934550989346,1.5112559980704598,-1.0683777432917,0.5345599821273234,0.2310198945797618,True
sceptr_sparsemax,Sparsemax,alpha,S04,6902826956892357559,moderate,169,109,0.8709226467847156,0.4790715372907154,1.245625749965003,-0.00589189170190918,0.4080012334524267,0.1044043962841948,False
sceptr_sparsemax,Sparsemax,alpha,S05,2712386035810402826,moderate,169,109,0.8361292326809568,0.5996955859969558,1.1818744146025377,0.2876566448377487,0.3821354506419805,0.1257320150832648,False
sceptr_sparsemax,Sparsemax,alpha,S06,14320595710489364965,moderate,169,109,0.7764833799316558,0.5780060882800608,0.32292099348786696,0.11143627838671827,0.4910404563299527,0.1590053898214456,True
sceptr_sparsemax,Sparsemax,alpha,S07,11327508419378867602,ordinary,169,109,0.7595526561043803,0.4680365296803653,0.031693617123115525,0.26955297685608176,0.4760889007148174,0.1848026258681999,True
sceptr_sparsemax,Sparsemax,alpha,S08,10762549616907469203,ordinary,169,109,0.6225535880708295,0.7092846270928465,0.091642536365986,0.17340285070531375,0.3138820924114681,0.1883001321468792,False
sceptr_sparsemax,Sparsemax,alpha,S09,12293968614973973933,ordinary,169,109,0.587138863000932,0.7987062404870623,0.0880269764366894,0.024024636943234787,0.2877426206123859,0.237289416031075,False
sceptr_sparsemax,Sparsemax,beta,S01,777,lucky,169,110,0.7693383038210625,0.2676426426426426,0.1163481375880806,-0.09371969114062166,0.5247613901911449,0.135571295620471,True
sceptr_sparsemax,Sparsemax,beta,S02,2232016200,lucky,169,110,0.7378067722895308,0.606981981981982,0.16131755223865293,0.03442103082646816,0.319767225784437,0.1901980269535411,False
sceptr_sparsemax,Sparsemax,beta,S03,12906138414127427065,lucky,169,110,0.7173035104069586,0.4286786786786787,0.003911055880734808,0.061035036384738846,0.2250386020371124,0.2040465021415782,False
sceptr_sparsemax,Sparsemax,beta,S04,6902826956892357559,moderate,169,110,0.5958372165268717,0.5897147147147148,0.12207148387873318,0.31048196826869634,0.2548988463747213,0.155142309940182,True
sceptr_sparsemax,Sparsemax,beta,S05,2712386035810402826,moderate,169,110,0.6604535570052812,0.45645645645645644,0.0746093176492573,0.08749369672574721,0.3228900482311936,0.1776497515744371,True
sceptr_sparsemax,Sparsemax,beta,S06,14320595710489364965,moderate,169,110,0.6908977943460703,0.5795795795795796,0.16205640372006355,-0.0018169789143796244,0.3362731318551016,0.1777788874907837,False
sceptr_sparsemax,Sparsemax,beta,S07,11327508419378867602,ordinary,169,110,0.6259707983845915,0.4665915915915916,0.07898558671366762,-0.029918571123583863,0.4160140172765239,0.1774953674650518,False
sceptr_sparsemax,Sparsemax,beta,S08,10762549616907469203,ordinary,169,110,0.805995650823237,0.2406156156156156,0.2602369553426793,-0.19497481448218235,0.262775189150745,0.1228782619699683,True
sceptr_sparsemax,Sparsemax,beta,S09,12293968614973973933,ordinary,169,110,0.6118359739049394,0.5675675675675675,0.09289771632249709,0.0943858184186646,0.346654095702376,0.2006929377180284,True
