experiment_id,method_id,method_label,chain,seed_id,seed_value,seed_group,split,n,auc_no_gate,balanced_accuracy,sensitivity,specificity,auc_hard_030,auc_delta_no_gate_minus_hard_030
experiment_04_alice_model_no_hard_gate,no_gate_l2_linear,No gate + L2 + Linear,alpha,S13,4496119368746308026,ordinary,internal_oof,169,0.8630009319664491,0.7559024541783163,0.6379310344827587,0.8738738738738738,0.795278036657347,0.06772289530910214
experiment_04_alice_model_no_hard_gate,no_gate_l2_mlp,No gate + L2 + MLP,alpha,S01,777,lucky,internal_oof,169,0.8654861758310034,0.7768716992854924,0.7068965517241379,0.8468468468468469,0.7444858651755203,0.12100031065548311
experiment_04_alice_model_no_hard_gate,no_gate_l2_mlp,No gate + L2 + MLP,alpha,S02,2232016200,lucky,internal_oof,169,0.8645542093817956,0.781376203789997,0.7068965517241379,0.8558558558558559,0.7684063373718546,0.09614787200994102
experiment_04_alice_model_no_hard_gate,no_gate_l2_mlp,No gate + L2 + MLP,alpha,S10,8365301900047924020,lucky,internal_oof,169,0.8681267474370923,0.781376203789997,0.7068965517241379,0.8558558558558559,0.7556694625660143,0.11245728487107798
experiment_04_alice_model_no_hard_gate,no_gate_l2_mlp,No gate + L2 + MLP,alpha,S04,6902826956892357559,moderate,internal_oof,169,0.870767319043181,0.777260018639329,0.6896551724137931,0.8648648648648649,0.7755514134824479,0.09521590556073312
experiment_04_alice_model_no_hard_gate,no_gate_l2_mlp,No gate + L2 + MLP,alpha,S05,2712386035810402826,moderate,internal_oof,169,0.872941907424666,0.7899968934451693,0.7241379310344828,0.8558558558558559,0.775085430257844,0.097856477166822
experiment_04_alice_model_no_hard_gate,no_gate_l2_mlp,No gate + L2 + MLP,alpha,S11,2817756917657900866,moderate,internal_oof,169,0.8695246971109041,0.7809878844361603,0.7241379310344828,0.8378378378378378,0.7651444547996272,0.10438024231127685
experiment_04_alice_model_no_hard_gate,no_gate_l2_mlp,No gate + L2 + MLP,alpha,S07,11327508419378867602,ordinary,internal_oof,169,0.8597390493942219,0.7641348244796521,0.6724137931034483,0.8558558558558559,0.7696489593041317,0.09009009009009017
experiment_04_alice_model_no_hard_gate,no_gate_l2_mlp,No gate + L2 + MLP,alpha,S08,10762549616907469203,ordinary,internal_oof,169,0.8557005281143212,0.7896085740913328,0.7413793103448276,0.8378378378378378,0.7662317489903697,0.08946877912395146
experiment_04_alice_model_no_hard_gate,no_gate_l2_mlp,No gate + L2 + MLP,alpha,S12,10694063091131643398,ordinary,internal_oof,169,0.8707673190431809,0.7858807082945014,0.7068965517241379,0.8648648648648649,0.7722895309102206,0.09847778813296038
experiment_04_alice_model_no_hard_gate,no_gate_l2_mlp,No gate + L2 + MLP,alpha,S13,4496119368746308026,ordinary,internal_oof,169,0.8494874184529357,0.7584653619136378,0.7241379310344828,0.7927927927927928,0.7416899658278969,0.10779745262503881
experiment_04_alice_model_no_hard_gate,no_gate_l1_linear,No gate + L1 + Linear,beta,S01,777,lucky,internal_oof,169,0.7360981671326499,0.6830537433985711,0.6724137931034483,0.6936936936936937,0.6533861447654551,0.08271202236719477
experiment_04_alice_model_no_hard_gate,no_gate_l1_linear,No gate + L1 + Linear,beta,S02,2232016200,lucky,internal_oof,169,0.7449518484001242,0.6703168685927308,0.6379310344827587,0.7027027027027027,0.6453091022056541,0.09964274619447011
experiment_04_alice_model_no_hard_gate,no_gate_l1_linear,No gate + L1 + Linear,beta,S10,8365301900047924020,lucky,internal_oof,169,0.7347002174588382,0.69206275240758,0.6724137931034483,0.7117117117117117,0.6470177073625349,0.08768251009630323
experiment_04_alice_model_no_hard_gate,no_gate_l1_linear,No gate + L1 + Linear,beta,S04,6902826956892357559,moderate,internal_oof,169,0.7455731593662628,0.6744330537433986,0.6551724137931034,0.6936936936936937,0.6557160608884747,0.08985709847778811
experiment_04_alice_model_no_hard_gate,no_gate_l1_linear,No gate + L1 + Linear,beta,S05,2712386035810402826,moderate,internal_oof,169,0.7447965206585896,0.6924510717614165,0.6551724137931034,0.7297297297297297,0.6515222118670394,0.09327430879155019
experiment_04_alice_model_no_hard_gate,no_gate_l1_linear,No gate + L1 + Linear,beta,S11,2817756917657900866,moderate,internal_oof,169,0.7379621000310655,0.6875582479030755,0.6724137931034483,0.7027027027027027,0.6417365641503572,0.09622553588070837
experiment_04_alice_model_no_hard_gate,no_gate_l1_linear,No gate + L1 + Linear,beta,S07,11327508419378867602,ordinary,internal_oof,169,0.7331469400434917,0.6830537433985711,0.6724137931034483,0.6936936936936937,0.6428238583410997,0.090323081702392
